V_vs_Li,Q_mAh
0.0938573,0.102049
0.0938862,0.102277
0.0939329,0.102506
0.0939277,0.102734
0.0939225,0.102962
0.0939499,0.10319
0.094013,0.103419
0.093964,0.103647
0.0940374,0.103875
0.0940634,0.104104
0.0940463,0.104332
0.0940842,0.10456
0.0940693,0.104789
0.0941094,0.105017
0.0941405,0.105245
0.0941398,0.105473
0.0941435,0.105702
0.0941776,0.10593
0.0942021,0.106158
0.094208,0.106387
0.0942073,0.106615
0.0942221,0.106843
0.0942466,0.107072
0.0942569,0.1073
0.0942844,0.107528
0.0942844,0.107756
0.0943237,0.107985
0.0943459,0.108213
0.0943585,0.108441
0.0943934,0.10867
0.0943726,0.108898
0.0943778,0.109126
0.0943837,0.109354
0.0944327,0.109583
0.0944609,0.109811
0.0944883,0.110039
0.0945046,0.110268
0.0945395,0.110496
0.0945484,0.110724
0.0944965,0.110953
0.0945039,0.111181
0.0945728,0.111409
0.0945773,0.111638
0.0945706,0.111866
0.094607,0.112094
0.0946262,0.112322
0.0946025,0.112551
0.0946218,0.112779
0.0946685,0.113007
0.094716,0.113236
0.0947234,0.113464
0.0946655,0.113692
0.0947434,0.11392
0.0947248,0.114149
0.0947071,0.114377
0.0947456,0.114605
0.0947775,0.114834
0.0947886,0.115062
0.0948049,0.11529
0.0948487,0.115519
0.0948383,0.115747
0.0948747,0.115975
0.0948316,0.116204
0.0949028,0.116432
0.0948524,0.11666
0.0949006,0.116888
0.0949503,0.117117
0.0949466,0.117345
0.0949436,0.117573
0.0949762,0.117802
0.0949822,0.11803
0.0949777,0.118258
0.0949911,0.118486
0.0950155,0.118715
0.0950615,0.118943
0.0950118,0.119171
0.0950889,0.1194
0.0950652,0.119628
0.0951068,0.119856
0.0951253,0.120084
0.0950875,0.120313
0.0950949,0.120541
0.0951542,0.120769
0.0951727,0.120998
0.0951675,0.121226
0.0951854,0.121454
0.0952024,0.121683
0.0951928,0.121911
0.0952165,0.122139
0.0952773,0.122368
0.0952617,0.122596
0.0952906,0.122824
0.0952536,0.123052
0.0953322,0.123281
0.0953047,0.123509
0.0952795,0.123737
0.095327,0.123966
0.0953781,0.124194
0.0953374,0.124422
0.0953292,0.124651
0.0953455,0.124879
0.0953952,0.125107
0.0954493,0.125335
0.0954656,0.125564
0.0954404,0.125792
0.0954797,0.12602
0.0954627,0.126249
0.0954842,0.126477
0.0954708,0.126705
0.0955035,0.126934
0.095482,0.127162
0.0955072,0.12739
0.095542,0.127618
0.0955109,0.127847
0.0955695,0.128075
0.0955472,0.128303
0.0956051,0.128532
0.095631,0.12876
0.0956266,0.128988
0.0955895,0.129217
0.0956599,0.129445
0.0956955,0.129673
0.0956955,0.129901
0.0956926,0.13013
0.0957015,0.130358
0.0956896,0.130586
0.0957489,0.130815
0.0957726,0.131043
0.0957756,0.131271
0.0958016,0.131499
0.0957719,0.131728
0.0957652,0.131956
0.0958238,0.132184
0.0958186,0.132413
0.0957793,0.132641
0.0958661,0.132869
0.0958935,0.133098
0.0959076,0.133326
0.095921,0.133554
0.0958876,0.133782
0.0958787,0.134011
0.0959491,0.134239
0.0959106,0.134467
0.0959654,0.134696
0.095961,0.134924
0.0959595,0.135152
0.0959588,0.135381
0.0959565,0.135609
0.0960418,0.135837
0.0960389,0.136065
0.0959996,0.136294
0.0960166,0.136522
0.0960641,0.13675
0.096093,0.136979
0.0961115,0.137207
0.0960618,0.137435
0.0961041,0.137663
0.0961256,0.137892
0.0961427,0.13812
0.0961464,0.138348
0.0961649,0.138577
0.0961783,0.138805
0.0962102,0.139033
0.0962087,0.139262
0.0962198,0.13949
0.0962472,0.139718
0.0962109,0.139947
0.0962665,0.140175
0.0962124,0.140403
0.0962969,0.140631
0.0962598,0.14086
0.0962658,0.141088
0.0962776,0.141316
0.0962999,0.141545
0.0963169,0.141773
0.0963355,0.142001
0.0963748,0.14223
0.0963844,0.142458
0.0963852,0.142686
0.0963896,0.142914
0.096443,0.143143
0.0964037,0.143371
0.0964385,0.143599
0.0964623,0.143828
0.0964511,0.144056
0.0964734,0.144284
0.0964942,0.144512
0.0964942,0.144741
0.0965298,0.144969
0.0965298,0.145197
0.096555,0.145426
0.0965327,0.145654
0.0965787,0.145882
0.0965817,0.146111
0.0965661,0.146339
0.0966291,0.146567
0.0966306,0.146795
0.096641,0.147024
0.0966061,0.147252
0.0966669,0.14748
0.0966269,0.147709
0.0966491,0.147937
0.096687,0.148165
0.0967151,0.148394
0.0966736,0.148622
0.096753,0.14885
0.0967522,0.149078
0.09671,0.149307
0.0967567,0.149535
0.0967359,0.149763
0.0967611,0.149992
0.0967663,0.15022
0.0967648,0.150448
0.0968212,0.150677
0.0968108,0.150905
0.0968627,0.151133
0.0968138,0.151361
0.0968946,0.15159
0.0968457,0.151818
0.0968649,0.152046
0.0969591,0.152275
0.0969242,0.152503
0.0969065,0.152731
0.096991,0.15296
0.0969302,0.153188
0.0969547,0.153416
0.0969702,0.153644
0.0970377,0.153873
0.0970444,0.154101
0.0970058,0.154329
0.0970518,0.154558
0.0970385,0.154786
0.0970822,0.155014
0.0971148,0.155243
0.0970666,0.155471
0.0971512,0.155699
0.0971171,0.155927
0.0971326,0.156156
0.097166,0.156384
0.0971749,0.156612
0.0971786,0.156841
0.0971905,0.157069
0.0972186,0.157297
0.0972365,0.157526
0.0972661,0.157754
0.0972327,0.157982
0.0972884,0.15821
0.0972854,0.158439
0.0973076,0.158667
0.0973432,0.158895
0.097338,0.159124
0.097344,0.159352
0.0973121,0.15958
0.0973848,0.159808
0.0974077,0.160037
0.0974048,0.160265
0.0973885,0.160493
0.0974522,0.160722
0.0974589,0.16095
0.097447,0.161178
0.0974611,0.161407
0.0975027,0.161635
0.0975034,0.161863
0.0975308,0.162091
0.0974982,0.16232
0.0975434,0.162548
0.0975672,0.162776
0.0975575,0.163005
0.0975738,0.163233
0.0975976,0.163461
0.0975894,0.16369
0.0976161,0.163918
0.0976324,0.164146
0.0976235,0.164374
0.0977007,0.164603
0.0976762,0.164831
0.0977288,0.165059
0.0977555,0.165288
0.0977118,0.165516
0.0977511,0.165744
0.0977214,0.165973
0.0977852,0.166201
0.0977844,0.166429
0.0978393,0.166657
0.0978349,0.166886
0.0978223,0.167114
0.0978445,0.167342
0.0978401,0.167571
0.0978994,0.167799
0.0979135,0.168027
0.097886,0.168256
0.0979253,0.168484
0.0979357,0.168712
0.0979402,0.16894
0.0979728,0.169169
0.0979461,0.169397
0.0980203,0.169625
0.0980388,0.169854
0.0980024,0.170082
0.0980692,0.17031
0.09809,0.170539
0.0980447,0.170767
0.0981048,0.170995
0.098156,0.171223
0.0981485,0.171452
0.0981752,0.17168
0.0981723,0.171908
0.0981886,0.172136
0.0981797,0.172365
0.0982435,0.172593
0.0982524,0.172822
0.0982709,0.17305
0.0982286,0.173278
0.098305,0.173506
0.0982568,0.173735
0.0983087,0.173963
0.098351,0.174191
0.098374,0.17442
0.0983814,0.174648
0.0983614,0.174876
0.0983436,0.175104
0.0983814,0.175333
0.098391,0.175561
0.0984044,0.175789
0.098417,0.176018
0.098483,0.176246
0.0984726,0.176474
0.0984941,0.176703
0.0985312,0.176931
0.0985097,0.177159
0.0985757,0.177387
0.0985445,0.177616
0.0985972,0.177844
0.0985586,0.178072
0.0986253,0.178301
0.0986016,0.178529
0.0986305,0.178757
0.0986476,0.178986
0.0986572,0.179214
0.0986839,0.179442
0.098718,0.17967
0.0987203,0.179899
0.0987269,0.180127
0.0987477,0.180355
0.0987499,0.180584
0.0988144,0.180812
0.0988285,0.18104
0.0988678,0.181268
0.0988367,0.181497
0.0988871,0.181725
0.0989012,0.181953
0.0989079,0.182182
0.0989412,0.18241
0.0989012,0.182638
0.0989813,0.182867
0.0989338,0.183095
0.0989546,0.183323
0.0989946,0.183552
0.0990169,0.18378
0.0990591,0.184008
0.0990391,0.184236
0.0990399,0.184465
0.0991281,0.184693
0.0991385,0.184921
0.0991459,0.18515
0.0991326,0.185378
0.0991978,0.185606
0.0991466,0.185835
0.0991845,0.186063
