V_vs_Li,Q_mAh
0.103674,0.0532287
0.103674,0.0533545
0.103685,0.0534803
0.103684,0.0536062
0.103682,0.053732
0.103683,0.0538578
0.103586,0.0539837
0.10359,0.0541095
0.103591,0.0542354
0.103589,0.0543612
0.103599,0.054487
0.103596,0.0546129
0.103601,0.0547387
0.1036,0.0548645
0.103594,0.0549904
0.103612,0.0551162
0.103612,0.055242
0.103603,0.0553679
0.103625,0.0554937
0.103622,0.0556195
0.103621,0.0557454
0.103618,0.0558712
0.103624,0.0559971
0.103626,0.0561229
0.10364,0.0562487
0.103626,0.0563746
0.103633,0.0565004
0.103618,0.0566262
0.103631,0.0567521
0.103622,0.0568779
0.103644,0.0570037
0.103633,0.0571296
0.103641,0.0572554
0.103634,0.0573813
0.103645,0.0575071
0.103643,0.0576329
0.103638,0.0577588
0.103646,0.0578846
0.103654,0.0580104
0.103648,0.0581363
0.10366,0.0582621
0.103655,0.0583879
0.103671,0.0585138
0.103671,0.0586396
0.10368,0.0587654
0.103665,0.0588913
0.103664,0.0590171
0.10366,0.059143
0.103672,0.0592688
0.103674,0.0593946
0.103671,0.0595205
0.10367,0.0596463
0.103656,0.0597721
0.103668,0.059898
0.103672,0.0600238
0.103668,0.0601496
0.103683,0.0602755
0.103674,0.0604013
0.103677,0.0605271
0.103676,0.060653
0.10368,0.0607788
0.103671,0.0609047
0.103679,0.0610305
0.103688,0.0611563
0.103685,0.0612822
0.10368,0.061408
0.103677,0.0615338
0.103677,0.0616597
0.103681,0.0617855
0.103689,0.0619113
0.103685,0.0620372
0.103691,0.062163
0.103696,0.0622889
0.103694,0.0624147
0.103696,0.0625405
0.103692,0.0626664
0.103696,0.0627922
0.103694,0.062918
0.103697,0.0630439
0.103697,0.0631697
0.103702,0.0632955
0.103707,0.0634214
0.103694,0.0635472
0.103704,0.063673
0.103697,0.0637989
0.103684,0.0639247
0.103687,0.0640505
0.103688,0.0641764
0.103679,0.0643022
0.103686,0.0644281
0.103685,0.0645539
0.103681,0.0646797
0.10369,0.0648056
0.103686,0.0649314
0.103691,0.0650572
0.103688,0.0651831
0.103687,0.0653089
0.103692,0.0654347
0.103698,0.0655606
0.1037,0.0656864
0.103701,0.0658122
0.10371,0.0659381
0.103703,0.0660639
0.103703,0.0661898
0.103707,0.0663156
0.103707,0.0664414
0.103706,0.0665673
0.103704,0.0666931
0.103707,0.0668189
0.103714,0.0669448
0.103714,0.0670706
0.103708,0.0671964
0.103709,0.0673223
0.103717,0.0674481
0.103701,0.067574
0.103711,0.0676998
0.1037,0.0678256
0.103719,0.0679515
0.103717,0.0680773
0.103721,0.0682031
0.103717,0.068329
0.103715,0.0684548
0.103722,0.0685806
0.103724,0.0687065
0.10372,0.0688323
0.10372,0.0689581
0.10372,0.069084
0.10372,0.0692098
0.103717,0.0693357
0.103721,0.0694615
0.103725,0.0695873
0.10372,0.0697132
0.103723,0.069839
0.10372,0.0699648
0.103724,0.0700907
0.103721,0.0702165
0.103704,0.0703423
0.103714,0.0704682
0.10371,0.070594
0.103708,0.0707198
0.103701,0.0708457
0.103679,0.0709715
0.103676,0.0710974
0.10369,0.0712232
0.103688,0.071349
0.103677,0.0714749
0.103685,0.0716007
0.103674,0.0717265
0.103683,0.0718524
0.103677,0.0719782
0.103684,0.072104
0.103688,0.0722299
0.103688,0.0723557
0.103685,0.0724815
0.103694,0.0726074
0.103685,0.0727332
0.103688,0.072859
0.103688,0.0729849
0.103683,0.0731107
0.103689,0.0732366
0.103674,0.0733624
0.103683,0.0734882
0.103672,0.0736141
0.103688,0.0737399
0.103686,0.0738657
0.103696,0.0739916
0.103683,0.0741174
0.103688,0.0742432
0.103685,0.0743691
0.103679,0.0744949
0.103683,0.0746207
0.103696,0.0747466
0.103678,0.0748724
0.103686,0.0749983
0.103691,0.0751241
0.103691,0.0752499
0.103687,0.0753758
0.103687,0.0755016
0.103689,0.0756274
0.103689,0.0757533
0.103685,0.0758791
0.10369,0.0760049
0.103698,0.0761308
0.10371,0.0762566
0.103705,0.0763824
0.103703,0.0765083
0.103703,0.0766341
0.103697,0.07676
0.1037,0.0768858
0.103698,0.0770116
0.103697,0.0771375
0.103709,0.0772633
0.10371,0.0773891
0.103694,0.077515
0.103695,0.0776408
0.103705,0.0777666
0.103705,0.0778925
0.103705,0.0780183
0.103698,0.0781442
0.1037,0.07827
0.103703,0.0783958
0.103697,0.0785217
0.1037,0.0786475
0.103709,0.0787733
0.103709,0.0788992
0.103712,0.079025
0.103708,0.0791508
0.103708,0.0792767
0.103703,0.0794025
0.103695,0.0795283
0.103707,0.0796542
0.103703,0.07978
0.103701,0.0799059
