V_vs_Li,Q_mAh
0.145019,0.0841407
0.145176,0.0843543
0.145326,0.0845678
0.145481,0.0847814
0.145627,0.0849949
0.145769,0.0852085
0.14593,0.085422
0.146066,0.0856356
0.146204,0.0858491
0.14638,0.0860627
0.14651,0.0862763
0.146681,0.0864898
0.146821,0.0867034
0.146968,0.0869169
0.147097,0.0871305
0.147274,0.087344
0.147405,0.0875576
0.147553,0.0877711
0.1477,0.0879847
0.147849,0.0881982
0.148015,0.0884118
0.148148,0.0886254
0.148294,0.0888389
0.14844,0.0890525
0.148591,0.089266
0.148741,0.0894796
0.14889,0.0896931
0.149027,0.0899067
0.149177,0.0901202
0.149316,0.0903338
0.149474,0.0905474
0.149615,0.0907609
0.149767,0.0909745
0.149915,0.091188
0.150048,0.0914016
0.150201,0.0916151
0.150352,0.0918287
0.150482,0.0920422
0.150634,0.0922558
0.150787,0.0924694
0.150942,0.0926829
0.151052,0.0928965
0.151208,0.09311
0.151372,0.0933236
0.151509,0.0935371
0.151645,0.0937507
0.151808,0.0939642
0.151937,0.0941778
0.152115,0.0943913
0.152254,0.0946049
0.152375,0.0948185
0.152537,0.095032
0.152674,0.0952456
0.152816,0.0954591
0.152942,0.0956727
0.153083,0.0958862
0.15322,0.0960998
0.153391,0.0963133
0.153531,0.0965269
0.153671,0.0967405
0.153808,0.096954
0.153953,0.0971676
0.154102,0.0973811
0.154242,0.0975947
0.154388,0.0978082
0.154517,0.0980218
0.154666,0.0982353
0.154799,0.0984489
0.154946,0.0986625
0.155098,0.098876
0.155233,0.0990896
0.155387,0.0993031
0.155535,0.0995167
0.155651,0.0997302
0.15581,0.0999438
0.155949,0.100157
0.15609,0.100371
0.156238,0.100584
0.156367,0.100798
0.156531,0.101012
0.156662,0.101225
0.156792,0.101439
0.156955,0.101652
0.157074,0.101866
0.157216,0.102079
0.157354,0.102293
0.157501,0.102506
0.157649,0.10272
0.157776,0.102933
0.157929,0.103147
0.158053,0.103361
0.158183,0.103574
0.158348,0.103788
0.15849,0.104001
0.158623,0.104215
0.158746,0.104428
0.158909,0.104642
0.159038,0.104855
0.159182,0.105069
0.15932,0.105283
0.159459,0.105496
0.159588,0.10571
0.159741,0.105923
0.159873,0.106137
0.160002,0.10635
0.16012,0.106564
0.160266,0.106778
0.1604,0.106991
0.160554,0.107205
0.160683,0.107418
0.160823,0.107632
0.160951,0.107845
0.161104,0.108059
0.161225,0.108272
0.161368,0.108486
0.161508,0.1087
0.161621,0.108913
0.161758,0.109127
0.16191,0.10934
0.162043,0.109554
0.162158,0.109767
0.162312,0.109981
0.162453,0.110194
0.162581,0.110408
0.162704,0.110622
0.16285,0.110835
0.162996,0.111049
0.16313,0.111262
0.163274,0.111476
0.163394,0.111689
0.16353,0.111903
0.163681,0.112116
0.1638,0.11233
0.163951,0.112544
0.164087,0.112757
0.164215,0.112971
0.164364,0.113184
0.164471,0.113398
0.164629,0.113611
0.164751,0.113825
0.164871,0.114038
0.165002,0.114252
0.165152,0.114466
0.165284,0.114679
0.16541,0.114893
0.165559,0.115106
0.165679,0.11532
0.165819,0.115533
0.165938,0.115747
0.166076,0.11596
0.166222,0.116174
0.16635,0.116388
0.166477,0.116601
0.166601,0.116815
0.166742,0.117028
0.16689,0.117242
0.167013,0.117455
0.16713,0.117669
0.167281,0.117882
0.16742,0.118096
0.167533,0.11831
0.167652,0.118523
0.167781,0.118737
0.167919,0.11895
0.168072,0.119164
0.168175,0.119377
0.168309,0.119591
0.168459,0.119804
0.168595,0.120018
0.168716,0.120232
0.168831,0.120445
0.168992,0.120659
0.169142,0.120872
0.169239,0.121086
0.169384,0.121299
0.16951,0.121513
0.169635,0.121726
0.169768,0.12194
0.1699,0.122153
0.170009,0.122367
0.170151,0.122581
0.170261,0.122794
0.170395,0.123008
0.17054,0.123221
0.170657,0.123435
0.170795,0.123648
0.170922,0.123862
0.171074,0.124076
0.171178,0.124289
0.171317,0.124503
0.17143,0.124716
0.171541,0.12493
0.171694,0.125143
0.171797,0.125357
0.171927,0.12557
0.172078,0.125784
0.172189,0.125997
0.172315,0.126211
0.172437,0.126424
0.172573,0.126638
0.172709,0.126852
0.17282,0.127065
0.172955,0.127279
0.173084,0.127492
0.173208,0.127706
0.173319,0.127919
0.17348,0.128133
0.173564,0.128347
0.173716,0.12856
0.173844,0.128774
0.173962,0.128987
0.174083,0.129201
0.174211,0.129414
0.174316,0.129628
0.174467,0.129841
0.174579,0.130055
0.174693,0.130268
0.174829,0.130482
0.174963,0.130696
0.175065,0.130909
0.175204,0.131123
0.175314,0.131336
0.175458,0.13155
0.175571,0.131763
0.17569,0.131977
0.175822,0.13219
0.175933,0.132404
0.176061,0.132618
0.176202,0.132831
0.176327,0.133045
0.176413,0.133258
0.17656,0.133472
0.176687,0.133685
0.176815,0.133899
0.176922,0.134112
0.177026,0.134326
0.177161,0.13454
0.177278,0.134753
0.177404,0.134967
0.177513,0.13518
0.177659,0.135394
0.177753,0.135607
0.177895,0.135821
0.178012,0.136035
0.178139,0.136248
0.178265,0.136462
0.178346,0.136675
0.178478,0.136889
0.178636,0.137102
0.178699,0.137316
0.178853,0.137529
0.178958,0.137743
0.179069,0.137956
0.179226,0.13817
0.17934,0.138384
0.179435,0.138597
0.179569,0.138811
0.179671,0.139024
0.179815,0.139238
0.179929,0.139451
0.180034,0.139665
0.180146,0.139878
0.180285,0.140092
0.180384,0.140306
0.180522,0.140519
0.180633,0.140733
0.18075,0.140946
0.180848,0.14116
0.18099,0.141373
0.181086,0.141587
0.181217,0.1418
0.181335,0.142014
0.181456,0.142228
0.18155,0.142441
0.181672,0.142655
0.181799,0.142868
0.181912,0.143082
0.182019,0.143295
0.182126,0.143509
0.182261,0.143722
0.182378,0.143936
0.182492,0.14415
0.182603,0.144363
0.182727,0.144577
0.182824,0.14479
0.182999,0.145004
0.183111,0.145217
0.183216,0.145431
0.183318,0.145645
0.183447,0.145858
0.183565,0.146072
0.183671,0.146285
0.183772,0.146499
0.183864,0.146712
0.183998,0.146926
0.18413,0.147139
0.184236,0.147353
0.184333,0.147566
0.184437,0.14778
0.184566,0.147994
0.184677,0.148207
0.184802,0.148421
0.184913,0.148634
0.185023,0.148848
0.185119,0.149061
0.185238,0.149275
0.185357,0.149488
0.185468,0.149702
0.185583,0.149916
0.185686,0.150129
0.185789,0.150343
0.185925,0.150556
0.186002,0.15077
0.186126,0.150983
0.186244,0.151197
0.186363,0.15141
0.186449,0.151624
0.186571,0.151838
0.18666,0.152051
0.186777,0.152265
0.186905,0.152478
0.187003,0.152692
0.187102,0.152905
0.187213,0.153119
0.187346,0.153332
0.187449,0.153546
0.187547,0.15376
0.187667,0.153973
0.187773,0.154187
0.187894,0.1544
0.187995,0.154614
0.188085,0.154827
0.188211,0.155041
0.188308,0.155254
0.18843,0.155468
0.188518,0.155682
0.188632,0.155895
0.188754,0.156109
0.188844,0.156322
0.188966,0.156536
0.189067,0.156749
0.189177,0.156963
0.189276,0.157176
0.189385,0.15739
