"version","previous_version","relative_path","logical_path","artifact_role","extension","bytes","line_count","sha256","eol_normalized_sha256","version_token_normalized_sha256","previous_same_logical_path","byte_identical_to_previous","eol_text_identical_to_previous","version_token_text_identical_to_previous"
"v1.0.22","v1.0.21","results\comp_R2\B_bridges\br_allart2018.tex","results\comp_R2\B_bridges\br_allart2018.tex","VERSION_RESULT",".tex","2120","30","a5979b5d9b2a6ac60ded0edbd335abef501647a570e1b00b411c3198402a1201","a5979b5d9b2a6ac60ded0edbd335abef501647a570e1b00b411c3198402a1201","a5979b5d9b2a6ac60ded0edbd335abef501647a570e1b00b411c3198402a1201","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R2\B_bridges\br_baek_pilon2022.tex","results\comp_R2\B_bridges\br_baek_pilon2022.tex","VERSION_RESULT",".tex","2129","31","8d780b28c980334e901dbf53def96ea8be7c8a5ea82629405d13f7da8571996d","8d780b28c980334e901dbf53def96ea8be7c8a5ea82629405d13f7da8571996d","8d780b28c980334e901dbf53def96ea8be7c8a5ea82629405d13f7da8571996d","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R2\B_bridges\br_bazant2013.tex","results\comp_R2\B_bridges\br_bazant2013.tex","VERSION_RESULT",".tex","2904","39","b82c78cf38c025db8eb75cb24e3a5b36dc69d1d567eb52f2f760814821f6b906","b82c78cf38c025db8eb75cb24e3a5b36dc69d1d567eb52f2f760814821f6b906","b82c78cf38c025db8eb75cb24e3a5b36dc69d1d567eb52f2f760814821f6b906","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R2\B_bridges\br_bernardi1985.tex","results\comp_R2\B_bridges\br_bernardi1985.tex","VERSION_RESULT",".tex","2192","32","eee37a9c0454566ea68157daf4775dd1acb74e472cc98f2ccb7a432b2f4500aa","eee37a9c0454566ea68157daf4775dd1acb74e472cc98f2ccb7a432b2f4500aa","eee37a9c0454566ea68157daf4775dd1acb74e472cc98f2ccb7a432b2f4500aa","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R2\B_bridges\br_dreyer.tex","results\comp_R2\B_bridges\br_dreyer.tex","VERSION_RESULT",".tex","3039","37","0538a4a8045731c1953f31cc8122efc356e175752565471b8fdb00fc1297ff0e","0538a4a8045731c1953f31cc8122efc356e175752565471b8fdb00fc1297ff0e","0538a4a8045731c1953f31cc8122efc356e175752565471b8fdb00fc1297ff0e","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R2\B_bridges\br_mckinnon1983.tex","results\comp_R2\B_bridges\br_mckinnon1983.tex","VERSION_RESULT",".tex","2615","35","3a7dbabf1f5c21da144528a57d46a1313066e18594c8b1358be49d0a217ae0fa","3a7dbabf1f5c21da144528a57d46a1313066e18594c8b1358be49d0a217ae0fa","3a7dbabf1f5c21da144528a57d46a1313066e18594c8b1358be49d0a217ae0fa","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R2\B_bridges\br_reynier2003.tex","results\comp_R2\B_bridges\br_reynier2003.tex","VERSION_RESULT",".tex","1812","20","e0367d619298573de19638e90fd00ecf4892a9b6d9536e1e811dca55b2e202ca","e0367d619298573de19638e90fd00ecf4892a9b6d9536e1e811dca55b2e202ca","e0367d619298573de19638e90fd00ecf4892a9b6d9536e1e811dca55b2e202ca","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R2\B_bridges\br_weppner_huggins1977.tex","results\comp_R2\B_bridges\br_weppner_huggins1977.tex","VERSION_RESULT",".tex","2382","32","9e924478adc42307dd046dbb6d76e452a5c322019a2cead7a641208d9d78d97c","9e924478adc42307dd046dbb6d76e452a5c322019a2cead7a641208d9d78d97c","9e924478adc42307dd046dbb6d76e452a5c322019a2cead7a641208d9d78d97c","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R2\B_bridges\BRIDGE_DRAFTS.md","results\comp_R2\B_bridges\BRIDGE_DRAFTS.md","VERSION_RESULT",".md","8556","72","991b9fc1ce33e2739c15498180d347fb8db9d7e09201ee84e9fa80029e4efade","991b9fc1ce33e2739c15498180d347fb8db9d7e09201ee84e9fa80029e4efade","7c0a0f718e61788cef1895531c03a15f7ef63c0f4ef41daccf5d3d743a3319a9","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R2\B_bridges\BRIDGE_RISK.md","results\comp_R2\B_bridges\BRIDGE_RISK.md","VERSION_RESULT",".md","6811","44","2982aa69ac05d353165b62b88e0ed2ae8fef0669301248a15ef564361c884c5a","2982aa69ac05d353165b62b88e0ed2ae8fef0669301248a15ef564361c884c5a","277d68c7745a3d8a85090af50bf73b5ac9eb12453cf2e72676953a592506b4cc","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R2\B_bridges\BRIDGE_TARGETS.md","results\comp_R2\B_bridges\BRIDGE_TARGETS.md","VERSION_RESULT",".md","6115","58","6380ad79a831c09e8c06a0816e0c2cf1d75edd570d4e20e31f2797c52e190530","6380ad79a831c09e8c06a0816e0c2cf1d75edd570d4e20e31f2797c52e190530","1c46759e9dabfed50ce983fa4e3e4c4ba5ae65b2a5bc24ebcc76d35b12b1a482","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R2\BRIEF_A.md","results\comp_R2\BRIEF_A.md","VERSION_RESULT",".md","4962","43","b20dbdd7e666e92bdd16db0bf6a1d5ab8abb1814b09a70886b4e63ccbf8dd7ca","b20dbdd7e666e92bdd16db0bf6a1d5ab8abb1814b09a70886b4e63ccbf8dd7ca","88945844f3b2098b642a5b727749924508cf52c5a41a4fd8bbb17f0b4e466b8c","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R2\BRIEF_B.md","results\comp_R2\BRIEF_B.md","VERSION_RESULT",".md","3699","34","ee34da1584dfeba4f054e44278986869ad71be68082225177b3b9df3bcf8ea37","ee34da1584dfeba4f054e44278986869ad71be68082225177b3b9df3bcf8ea37","364da8fb8c1fcadbe935f6e853b5cc29bc8bd8bb76385734f73e486980873cb0","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R2\BRIEF_C.md","results\comp_R2\BRIEF_C.md","VERSION_RESULT",".md","4209","34","2a90fc9fc09aa9a41bc0b6d592fd811ef4eef0d04633714d402bed8a6305e91e","2a90fc9fc09aa9a41bc0b6d592fd811ef4eef0d04633714d402bed8a6305e91e","d44a8307ebb9497a2ad6e491a3ad1335b343acee021260f5a3d8ad9a4de7901a","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R2\C_statmech\CLT_DRAFT.tex","results\comp_R2\C_statmech\CLT_DRAFT.tex","VERSION_RESULT",".tex","8946","100","05772258e7c997ef9e30c73b63332f271771f7e2d076ea79cebb0b999f70db43","05772258e7c997ef9e30c73b63332f271771f7e2d076ea79cebb0b999f70db43","e51092593eb496253fc8d6c6dffb87f1d14bef35e07071b2978ea5eb12b90a37","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R2\C_statmech\CNT_LINK_DRAFT.tex","results\comp_R2\C_statmech\CNT_LINK_DRAFT.tex","VERSION_RESULT",".tex","5007","52","8c63848183bf0fb0c35b78e78687544796d370e32bb82a235e844a7b62bfe55c","8c63848183bf0fb0c35b78e78687544796d370e32bb82a235e844a7b62bfe55c","18857b382826e2e83c0110e825fdac192426a4f97e159270839eec608a6d0e56","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R2\C_statmech\REMOVAL_CHECK.md","results\comp_R2\C_statmech\REMOVAL_CHECK.md","VERSION_RESULT",".md","8211","83","4b2ef7b1aaa2d96651c6e301ddc80e5bae4fe35dabfa80a55176390bea114cf4","4b2ef7b1aaa2d96651c6e301ddc80e5bae4fe35dabfa80a55176390bea114cf4","0ff331baa5a21cad6696833007ca83730ad4345d3d12f3c2b50ca4a1ff77a0d7","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R2\CHERRYPICK_R2.md","results\comp_R2\CHERRYPICK_R2.md","VERSION_RESULT",".md","6429","47","ac16574be65d714cc0e2cfbb8c8c674769db5f7916ecb117adf96a51cca21210","ac16574be65d714cc0e2cfbb8c8c674769db5f7916ecb117adf96a51cca21210","ac16574be65d714cc0e2cfbb8c8c674769db5f7916ecb117adf96a51cca21210","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R3\BRIEF_D.md","results\comp_R3\BRIEF_D.md","VERSION_RESULT",".md","2596","23","38e84c02cffce0b06fdf9332f292af133edc864d7fa4077ca4d897d65e497df9","38e84c02cffce0b06fdf9332f292af133edc864d7fa4077ca4d897d65e497df9","27c63e57481e107910c18bdee4a0fa1bbd05e5199b155709f2eefe556ddfaf30","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R3\BRIEF_E.md","results\comp_R3\BRIEF_E.md","VERSION_RESULT",".md","2318","17","2c643008114a34cdf6f15fc18a53866b61a228e3eb84f3bfcd9dfda24f1a5577","2c643008114a34cdf6f15fc18a53866b61a228e3eb84f3bfcd9dfda24f1a5577","b8098e665f613c71a9f436a7284741ce52c75f38ae1a4e6b5a4ade0452654cdc","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R3\CHERRYPICK_R3.md","results\comp_R3\CHERRYPICK_R3.md","VERSION_RESULT",".md","3117","24","9778aa4b55866013e3ed80a3a744b86acb8da4c944036bf1587ea1dd6600509a","9778aa4b55866013e3ed80a3a744b86acb8da4c944036bf1587ea1dd6600509a","9778aa4b55866013e3ed80a3a744b86acb8da4c944036bf1587ea1dd6600509a","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R3\D_seams\ADDTERM_CHECK.md","results\comp_R3\D_seams\ADDTERM_CHECK.md","VERSION_RESULT",".md","7973","76","b845948faa9c1dc9d4ae4239ad631b98ea4f0cb31cf407e4aa70eaa73d3546ec","b845948faa9c1dc9d4ae4239ad631b98ea4f0cb31cf407e4aa70eaa73d3546ec","6621fff4110983703fe443a82e253f8ff396803e30dd90550055a0df91a4fd34","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R3\D_seams\INTRO_NOTATION_FINAL.md","results\comp_R3\D_seams\INTRO_NOTATION_FINAL.md","VERSION_RESULT",".md","7081","106","11d9c2b600b6531e4d83d0ffdb13f01b5bd373b874e8d27a3e9fac94e44f41b4","11d9c2b600b6531e4d83d0ffdb13f01b5bd373b874e8d27a3e9fac94e44f41b4","5b516692d770cb3c7e9717c0435468826b659337c14b79851f764923c39c7637","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R3\D_seams\SEAM_PLAN_R3.md","results\comp_R3\D_seams\SEAM_PLAN_R3.md","VERSION_RESULT",".md","14688","163","8bef37afb614e31bc646a934d2e51d3f4aabd445a25c8b8b3f79a0729eddd44b","8bef37afb614e31bc646a934d2e51d3f4aabd445a25c8b8b3f79a0729eddd44b","ccdee803fbd9c44a09483d4460358b3cf1afc6f53e3c811dec68bad785cb200e","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R3\E_bridges\br_marianetti2004.tex","results\comp_R3\E_bridges\br_marianetti2004.tex","VERSION_RESULT",".tex","4599","54","26e8f7766a1eadc8f99f0f083e9b89f9b255d481308d0f207297e34f9357d074","26e8f7766a1eadc8f99f0f083e9b89f9b255d481308d0f207297e34f9357d074","26e8f7766a1eadc8f99f0f083e9b89f9b255d481308d0f207297e34f9357d074","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R3\E_bridges\br_msmr_lineage.tex","results\comp_R3\E_bridges\br_msmr_lineage.tex","VERSION_RESULT",".tex","4254","53","0d7f30b547c7683334c271451cb27fb9620674224e4c61fb48be4e9e067666c4","0d7f30b547c7683334c271451cb27fb9620674224e4c61fb48be4e9e067666c4","0d7f30b547c7683334c271451cb27fb9620674224e4c61fb48be4e9e067666c4","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R3\E_bridges\br_reynier2004.tex","results\comp_R3\E_bridges\br_reynier2004.tex","VERSION_RESULT",".tex","4253","51","92bb4ceaaf6e79350b37dc2e603db4d849e1107de917425a9080b579b69c9049","92bb4ceaaf6e79350b37dc2e603db4d849e1107de917425a9080b579b69c9049","92bb4ceaaf6e79350b37dc2e603db4d849e1107de917425a9080b579b69c9049","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R3\E_bridges\br_vanderven1998.tex","results\comp_R3\E_bridges\br_vanderven1998.tex","VERSION_RESULT",".tex","4316","53","292910f01d0f9b26a6d5e80f3ce5c5bcd87698c3699ec97de2d8ef311b6210e1","292910f01d0f9b26a6d5e80f3ce5c5bcd87698c3699ec97de2d8ef311b6210e1","292910f01d0f9b26a6d5e80f3ce5c5bcd87698c3699ec97de2d8ef311b6210e1","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R3\E_bridges\BRIDGE_DRAFTS_LCO.md","results\comp_R3\E_bridges\BRIDGE_DRAFTS_LCO.md","VERSION_RESULT",".md","8280","51","fb7c47fe204a1e41954b950bba13b3b4dec0dde5d5b63eca3b1a4b980297e333","fb7c47fe204a1e41954b950bba13b3b4dec0dde5d5b63eca3b1a4b980297e333","79fdcd6eb671a3f967bcf120df61564e8ea2722f3a50ddab0b1059f679ddbad9","False","False","False","False"
"v1.0.22","v1.0.21","results\comp_R3\E_bridges\BRIDGE_TARGETS_LCO.md","results\comp_R3\E_bridges\BRIDGE_TARGETS_LCO.md","VERSION_RESULT",".md","5263","41","72caec4f41a5829c422fec96437b71f457b09710740190426aaefe41a71f6b8c","72caec4f41a5829c422fec96437b71f457b09710740190426aaefe41a71f6b8c","31ef070573f52a0844f958597606eac563c1026ea41b974801849766d83a7f6f","False","False","False","False"
